ODB Name,Step,Frame,Part Instance Name, Element Label,    Node Label,X,Y,Z,Section Name,Material Name,Section Point,         S-S22
D:/Jiaxi_Xie/3D/stress_concentration/2D_Abaqus_Result.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             5,           500,       4.86947,   991.445E-03,            0.,"ASSEMBLY_PART-1-1_SET-3","MATERIAL-1","",  -50.0346E-03
D:/Jiaxi_Xie/3D/stress_concentration/2D_Abaqus_Result.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             6,            15,           2.5,            0.,            0.,"ASSEMBLY_PART-1-1_SET-3","MATERIAL-1","",       1.17059
D:/Jiaxi_Xie/3D/stress_concentration/2D_Abaqus_Result.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             6,            16,          2.25,            0.,            0.,"ASSEMBLY_PART-1-1_SET-3","MATERIAL-1","",       1.13061
D:/Jiaxi_Xie/3D/stress_concentration/2D_Abaqus_Result.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             6,            80,       2.22672,   226.375E-03,            0.,"ASSEMBLY_PART-1-1_SET-3","MATERIAL-1","",       1.12994
D:/Jiaxi_Xie/3D/stress_concentration/2D_Abaqus_Result.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             6,            86,       2.47505,   230.927E-03,            0.,"ASSEMBLY_PART-1-1_SET-3","MATERIAL-1","",       1.16960
D:/Jiaxi_Xie/3D/stress_concentration/2D_Abaqus_Result.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             6,           501,       2.48752,   115.463E-03,            0.,"ASSEMBLY_PART-1-1_SET-3","MATERIAL-1","",       1.17004
D:/Jiaxi_Xie/3D/stress_concentration/2D_Abaqus_Result.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             6,           502,       2.35089,   228.651E-03,            0.,"ASSEMBLY_PART-1-1_SET-3","MATERIAL-1","",       1.14984
D:/Jiaxi_Xie/3D/stress_concentration/2D_Abaqus_Result.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             6,           503,       2.23836,   113.188E-03,            0.,"ASSEMBLY_PART-1-1_SET-3","MATERIAL-1","",       1.13023
D:/Jiaxi_Xie/3D/stress_concentration/2D_Abaqus_Result.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             6,           504,         2.375,            0.,            0.,"ASSEMBLY_PART-1-1_SET-3","MATERIAL-1","",       1.15068
D:/Jiaxi_Xie/3D/stress_concentration/2D_Abaqus_Result.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             7,            23,      500.E-03,            0.,            0.,"ASSEMBLY_PART-1-1_SET-3","MATERIAL-1","",   928.674E-03
